City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
428,spring creek,40.7266,-115.5859,19.94,29,0,0.88,US,1689433882
429,malmberget,67.1753,20.6549,21.31,43,60,4.63,SE,1689433882
430,solnechnyy,50.7214,136.6319,17.82,60,100,0.24,RU,1689433883
431,kruisfontein,-34.0033,24.7314,17.16,74,34,4.42,ZA,1689433883
432,tamanrasset,22.785,5.5228,34.95,7,40,2.06,DZ,1689433883
433,hashtpar,37.8008,48.9037,28.09,68,2,1.67,IR,1689433883
434,taoudenni,22.6783,-3.9836,44.92,4,2,3.68,ML,1689433883
435,panaba,21.2833,-88.2667,32.66,53,51,3.69,MX,1689433883
436,kencong,-8.2833,113.3667,24.62,81,99,0.66,ID,1689433883
437,malango,-2.9627,119.9001,18.15,95,47,0.9,ID,1689433884
438,newman,37.3138,-121.0208,26.8,40,0,0.45,US,1689433884
439,williams lake,52.1415,-122.1445,20.06,52,96,1.03,CA,1689433831
440,ishqoshim,36.7248,71.6133,22.08,40,87,3.81,TJ,1689433884
441,tarko-sale,64.9225,77.785,18.68,51,73,2.89,RU,1689433884
442,sao jose da coroa grande,-8.8978,-35.1478,27.38,71,21,3.99,BR,1689433886
443,pisco,-13.7,-76.2167,21.03,73,100,1.03,PE,1689433886
444,mabaruma,8.2,-59.7833,27.52,88,98,2.11,GY,1689433888
445,dalyellup,-33.3986,115.6168,10.07,70,1,4.02,AU,1689433889
446,zaragoza,41.6561,-0.8773,36.92,22,20,1.54,ES,1689433879
447,wynyard,-41.0,145.7167,10.44,75,77,5.9,AU,1689433891
448,puerto quijarro,-17.7833,-57.7667,27.64,24,47,1.57,BO,1689433887
449,bouar,5.934,15.596,22.87,77,100,3.16,CF,1689433892
450,magong,23.5654,119.5863,29.29,82,38,3.79,TW,1689433892
451,bad sooden-allendorf,51.2833,9.9833,29.45,65,100,2.09,DE,1689433892
452,papar,5.7333,115.9333,26.0,84,100,2.15,MY,1689433297
453,castillos,-34.1667,-53.8333,10.61,63,77,3.71,UY,1689433893
454,xining,36.6167,101.7667,12.82,75,72,1.46,CN,1689433893
455,leua,48.2156,18.6071,33.05,44,3,4.32,SK,1689433893
456,torghay,49.6339,63.4981,26.96,27,13,4.71,KZ,1689433893
457,mahina,-17.5065,-149.489,20.87,83,20,1.54,PF,1689433894
458,san martin,-33.081,-68.4681,11.3,38,1,4.57,AR,1689433894
459,al burayqah,30.4062,19.5739,27.65,74,12,7.83,LY,1689433894
460,peterborough,52.5736,-0.2478,22.16,82,75,9.26,GB,1689433496
461,qamdo,31.1667,97.2333,8.32,71,89,1.51,CN,1689433895
462,calbuco,-41.768,-73.1273,6.56,87,78,3.03,CL,1689433895
463,pitimbu,-7.4706,-34.8086,30.33,71,11,4.47,BR,1689433895
464,ugoofaaru,5.6667,73.0,28.48,76,80,5.2,MV,1689433895
465,slavyanka,42.8633,131.3847,16.64,96,100,7.8,RU,1689433895
466,korla,41.7597,86.1469,34.94,14,5,2.31,CN,1689433895
467,guixi,28.2886,117.2133,26.06,84,95,0.97,CN,1689433896
468,kraslice,50.3237,12.5175,34.26,25,10,3.29,CZ,1689433896
469,manokwari,-0.8667,134.0833,25.43,84,100,3.48,ID,1689433897
470,la barceloneta,41.3807,2.1899,35.34,72,20,5.66,ES,1689433897
471,kiruna,67.8557,20.2251,13.51,82,40,3.09,SE,1689433668
